agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,provisions,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,logrent
zaf immobilier,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,590,CC,55.0,539.0,566.5,227.0,10.0,42.03,2,0,0,1,0,0,0,1,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,1,3.0,0,0,0,0,0,0,0,0,1,0,0,6.3818160174060985
eurim,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1650,CC,300.0,1105.0,1350.0,184.5,13.0,85.0,3,0,0,0,0,0,0,2,0,0,1.0,0,0,0,0,0,0,collective_gas,0,0,0,8.0,0,1,1,1,0,1,0,0,0,0,0,7.409136443920128
eurim,sector1,TOULOUSE CENTRE,n1_2,Amidonniers - Compans Caffarelli,1351,CC,80.0,1179.1,1271.22,148.0,7.0,90.7,4,1,0,1,33,0,0,3,1,1,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,1,0,0,1,0,0,1,0,0,7.20934025660291
sporting immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,545,CC,60.0,559.5,563.735,61.0,14.0,42.0,2,1,0,1,0,1,0,1,0,1,1.0,1,1,0,0,0,0,gas,0,0,0,1.0,0,0,1,0,1,0,0,0,0,0,0,6.302618975744905
cdc habitat,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,685,CC,75.0,576.61,580.0,66.0,15.0,66.0,3,0,0,0,0,0,0,2,1,0,1.0,0,1,0,0,0,1,collective_gas,1,0,0,1.0,0,0,1,0,0,0,0,0,1,0,1,6.530877627725885
eurim,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,1465,CC,65.0,936.0,1400.0,184.5,13.0,72.0,3,1,0,1,35,0,0,2,0,1,1.0,1,0,0,1,1,1,individual_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,7.290292882446597
immobiliare,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,750,CC,60.0,745.2,690.0,72.5,9.0,71.0,4,0,0,1,26,0,0,0,1,0,1.0,0,1,0,0,0,1,individual,2,0,0,2.0,0,0,1,1,1,0,0,1,0,0,1,6.621405651764134
zaf immobilier,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,457,CC,50.0,520.0,591.0,159.0,6.0,20.0,1,0,0,1,0,0,0,0,0,0,1.0,0,0,1,0,0,1,individual_electrical,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,6.126869184114185
barthas immobilier,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,790,CC,60.0,538.98,610.0,147.0,12.0,75.0,3,0,0,0,0,0,0,2,0,0,1.0,1,1,0,0,0,1,collective_gas,0,0,0,5.0,1,0,0,0,0,0,0,0,1,0,0,6.673297967767654
stlimmo,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,871,CC,67.5,903.0,784.0,59.0,13.0,81.51,4,0,0,0,0,1,0,3,1,1,1.0,0,0,2,0,0,1,individual_gas,2,0,0,2.0,0,0,0,1,0,0,0,1,0,0,1,6.77078942390898
