link,title,agency,housing_type,city,details,rent,charges,rent_info,criteria,energy_rating,gas_rating,description
https://www.seloger.com/annonces/locations/appartement/toulouse-31/minimes-barriere-de-paris/155443675.htm,"Location appartement 2 pièces Toulouse - appartement F2/T2/2 pièces 42,03m² 590€/mois",zaf immobilier,Appartement,Toulouse,"                location appartement 42,03m² toulouse - minimes-barrière de paris            ",590,CC,None,"Surface de 42,03 m² ; Au 3ème étage ; 2 Pièces ; 1 Chambre ; Cuisine aucune ; Séjour ; Calme",227.0,10.0,"Votre agence ZAF IMMOBILIER vous propose: Charmant appartement T2 42m², composé d'un grand séjour avec climatisation réversible et balcon. Cuisine aménagée et équipée (réfrigérateur, plaque, hotte aspirante). Chambre séparée et belle salle d'eau rénovée. Dans une résidence calme et de haut standing avec piscine. Une place de parking sous-sol complète ce lot. Proche métro La Vache et de toutes commodités. Loyer; 530 euros + 60 euros de provisions sur charges. Dépôt de garantie: 530 euros Honoraires charge locataire: 546.39 (dont 126.09 euros pour la réalisation de l'état des lieux)."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/153552255.htm,Location appartement 3 pièces Toulouse - appartement F3/T3/3 pièces 85m² 1650€/mois,eurim,Appartement,Toulouse,                location appartement 85m² toulouse - capitole            ,1650,CC,"
                        Loyer : 1,650 € / mois charges comprises, dont :- Provisions pour charges avec regularisation annuelle : 300 €Honoraires TTC à la charge du locataire : 1,105 €- Dont honoraires TTC réalisation état des lieux : 255 €Dépôt de garantie : 1,350 €
",Ascenseur ; Orientation Ouest ; Vue ; Refait À Neuf ; Surface de 85 m² ; Année de construction 1980 ; Bâtiment de 9 étages ; Au 8ème étage ; 3 Pièces ; 2 Chambres ; Chauffage gaz collectif ; Cuisine aucune ; Interphone,,,"Wilson - Vue exceptionnelle WILSON - Superbe vue panoramique sur Toulouse pour ce grand T3 de 85m² entièrement refait à neuf et offrant une très grande pièce à vivre vitrée sur 2 côtés et climatisée avec cuisine ouverte équipée (plaque, hotte, four, lave-vaisselle, réfrigérateur et congélateur. 2 chambres et deux salles d'eau. Balcon. Ascenseur. 2 parking en sous-sol. Chauffage collectif compris dans les charges."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/amidonniers-caffarelli/155006867.htm,"Location appartement 4 pièces Toulouse - appartement F4/T4/4 pièces 90,7m² 1351€/mois",eurim,Appartement,Toulouse,"                location appartement 90,7m² toulouse - amidonniers-caffarelli            ",1351,CC,"
                        Loyer : 1,351 € / mois charges comprises, dont :- Provisions pour charges avec regularisation annuelle : 80 €Honoraires TTC à la charge du locataire : 1,179.1 €- Dont honoraires TTC réalisation état des lieux : 272.1 €Dépôt de garantie : 1,271.22 €
","Ascenseur ; Orientation Est, Sud ; Vue ; Surface de 90,7 m² ; Bâtiment de 7 étages ; Au 2ème étage ; 4 Pièces ; 3 Chambres ; 1 Salle de bain ; 1 Salle d'eau ; Chauffage individuel électrique ; Cuisine aucune ; Entrée ; Séjour ; Séjour de 33 m²",148.0,7.0,"COMPANS - PLACE DE L'EUROPE Compans-Caffarelli. A deux pas du Jardin Japonais, appartement T4 de 90,70m² entièrement rénové, au 2ème étage avec ascenseur. Grand séjour avec cuisine ouverte donnant sur la Place de l'Europe par de grandes baies vitrées, 3 chambres, une salle de bain et une salle d'eau. Une place de parking en sous-sol. Possibilité de louer une place de stationnement supplémentaire. Proximité immédiate du métro et de toutes les commodités."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/lalande-grand-selve/154406029.htm,Location appartement 2 pièces Toulouse - appartement F2/T2/2 pièces 42m² 545€/mois,sporting immobilier,Appartement,Toulouse,                location appartement 42m² toulouse - lalande-grand selve            ,545,CC,None,Ascenseur ; 1 Balcon ; Surface de 42 m² ; Bâtiment de 1 étage ; Au 1er étage ; 2 Pièces ; 1 Chambre ; 1 Salle d'eau ; 1 Toilette ; Toilettes Séparées ; Chauffage gaz ; Cuisine équipée ; Entrée ; Séjour ; Digicode,61.0,14.0,"APT 109
SPORTING IMMOBILIER VOUS OFFRE L INTÉGRALITÉ DES FRAIS D AGENCE.
Au Nord de la ville de Toulouse, la nouvelle résidence Sporting village 9 vous ouvre ses portes.
A 2 minutes du complexe Sporting Village, commerces, loisirs et espaces verts vous assure un confort de vie au quotidien.
Sporting Village 9 est une résidence sécurisée équipée de parking en sous-sol, de caméras de vidéosurveillance, et d'un système d'ouverture par vigik.
Cette dernière met à votre disposition un accès à la salle de sport de la résidence voisine Sporting Village 8, une aire de jeux ainsi qu'un local à vélo.
Situé au premier étage ce superbe T2 de 42m² vous propose une cuisine équipée (meuble sous évier, meubles hauts, hotte, plaque de cuisson vitrocéramique 2 feux et un emplacement four) ouverte sur un séjour lumineux par la présence d'un balcon. Cet appartement est muni d'une chambre, d'une salle d'eau, de WC séparés.
Le loyer de 490,00 euros comprend 55 euros de provision sur charges soumise à une régularisation annuelle.
Dépôt de garantie: 490,00 euros
 127,68 euros pour l'état des lieux d'entrée."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/croix-daurade-borderouge-paleficat-trois-cocus-/151016623.htm,Location appartement 3 pièces Toulouse - appartement F3/T3/3 pièces 66m² 685€/mois,cdc habitat,Appartement,Toulouse,                location appartement 66m² toulouse - croix daurade-borderouge-paleficat-trois cocus             ,685,CC,None,Ascenseur ; 1 Balcon ; Orientation Ouest ; Surface de 66 m² ; Année de construction 2012 ; Au 1er étage ; 3 Pièces ; 2 Chambres ; 1 Salle de bain ; Rangements ; Chauffage gaz collectif ; 1 Parking,66.0,15.0,"SANS HONORAIRES. Dans immeuble sécurisée de 2012 en retrait de la rue, venez visiter cet appartement de type 3 de 66m² au 1er étage se composant: d'un séjour avec cuisine aménagée, de 2 chambres dont une avec placards, d'une salle de bains.Ses plus: 1 grand balcon, 1 place de parking en sous-sol et le chauffage/eau chaude inclus dans les charges. Proximité immédiate de la ligne B du métro (Trois cocus) des bus 41 et 61 ainsi que des écoles."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/capitole/154860957.htm,Location appartement 3 pièces Toulouse - appartement F3/T3/3 pièces 72m² 1465€/mois,eurim,Appartement,Toulouse,                location appartement 72m² toulouse - capitole            ,1465,CC,"
                        Loyer : 1,465 € / mois charges comprises, dont :- Provisions pour charges avec regularisation annuelle : 65 €Honoraires TTC à la charge du locataire : 936 €- Dont honoraires TTC réalisation état des lieux : 216 €Dépôt de garantie : 1,400 €
","Cheminée ; Orientation Nord, Ouest ; Surface de 72 m² ; Bâtiment de 4 étages ; Au 2ème étage ; 3 Pièces ; 2 Chambres ; 1 Salle d'eau ; 1 Toilette ; Toilettes Séparées ; Parquet ; Rangements ; Chauffage individuel gaz ; Cuisine aucune ; Entrée ; Séjour ; Séjour de 35 m²",,,"Place de la Trinité élégant T3 Place de la Trinité. Superbe T3 de 74.5m² situé dans un bel immeuble ancien. Entrée avec placard, double réception avec cuisine US équipée. Deux chambres de 15m² et 10m² avec placard, salle d'eau avec sèche serviettes, WC indépendant. Nombreux éléments de caractère: moulures, vitraux, cheminée en marbre, parquets à bâtons rompus. Confort: double vitrage, chauffage au gaz et climatisation réversible. Fibre Internet. Disponible. Honoraires de location: 936 euros TTC dont 216 euros TTC d'état des lieux d'entrée."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/croix-daurade-borderouge-paleficat-trois-cocus-/155880669.htm,Location appartement 4 pièces Toulouse - appartement F4/T4/4 pièces 71m² 750€/mois,immobiliare,Appartement,Toulouse,                location appartement 71m² toulouse - croix daurade-borderouge-paleficat-trois cocus             ,750,CC,"
                        Loyer : 750 € / mois charges comprises, dont :- Complément de loyer : 0 €- Provisions pour charges avec regularisation annuelle : 60 €Honoraires TTC à la charge du locataire : 745.2 €- Dont honoraires TTC réalisation état des lieux : 120 €Dépôt de garantie : 690 €
",Ascenseur ; 1 Balcon ; Disponibilité : 31/01/2020 ; Surface de 71 m² ; Année de construction 2016 ; Bâtiment de 4 étages ; Au 2ème étage ; Adapté Pmr ; 4 Pièces ; 1 Salle de bain ; 1 Toilette ; Rangements ; Chauffage individuel ; Séjour ; Séjour de 26 m² ; 2 Parkings ; Interphone ; Digicode,,,"TOULOUSE - CROIX DAURADE, Au pied des commerces et des bus, dans résidence neuve sécurisée en BBC, économie d'énergie. Agréable T4 récent traversant avec balcon 10m² sans vis à vis, cuisine aménagée équipée ouverte sur séjour lumineux, nombreux rangements, 2 parkings en sous-sol. Accès rapide périphérique. DISPONIBLE."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/fontaine-bayonne-cartoucherie/155584513.htm,Location Studio Toulouse - 457€/mois - appartement F1/T1/1 pièce 20m²,zaf immobilier,Appartement,Toulouse,                location appartement 20m² toulouse - fontaine bayonne-cartoucherie            ,457,CC,None,1 Terrasse ; Disponibilité : 18/02/2020 ; Surface de 20 m² ; Bâtiment de 5 étages ; Au rez-de-chaussée ; 1 Pièce ; Rangements ; Cuisine aucune ; Séjour ; Calme,159.0,6.0,"PATTE OIE: Agréable studio au calme d'environ 20m² donnant sur une terrasse ensoleillée. Cuisine ouverte et équipée, un grand placard agrémente le séjour, et la salle de bain et les toilettes sont séparés.Une place de parking en sous-sol. Au pied des transports et commerces. Loyer 457.13 euros cc dont 30 euros de charges. Possibilité de louer parking ss-sol en sus (60 euros). HCL 260 euros."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/154435629.htm,Location appartement 3 pièces Toulouse - appartement F3/T3/3 pièces 75m² 790€/mois,barthas immobilier,Appartement,Toulouse,                location appartement 75m² toulouse            ,790,CC,None,1 Balcon ; Surface de 75 m² ; Bâtiment de 7 étages ; Au 5ème étage ; 3 Pièces ; 2 Chambres ; 1 Toilette ; Toilettes Séparées ; Meublé ; Rangements ; Chauffage gaz collectif radiateur ; Cuisine séparée,,,"Métro Jolimont 10 min à pieds, agréable appartement T3 de 75 m² meublé, composé d'une vaste pièce de vie lumineuse ouvrant sur balcon, une cuisine indépendante entièrement aménagée, un dégagement avec rangement, une salle de'eau, WC séparés, 2 chambres. Classe énergie C. Loyer 790 € / mois.
Informations Loi Alur: Honoraires = 670 euros, Statut négociateur: Agent immobilier.(gedeon_25657_20512878)."
https://www.seloger.com/annonces/locations/appartement/toulouse-31/153408045.htm,"Location appartement 4 pièces Toulouse - appartement F4/T4/4 pièces 81,51m² 871€/mois",stlimmo,Appartement,Toulouse,"                location appartement 81,51m² toulouse            ",871,CC,"
                        Loyer : 871 € / mois charges comprises, dont :- Charges forfaitaires : 87 €Honoraires TTC à la charge du locataire : 903 €- Dont honoraires TTC réalisation état des lieux : 0 €Dépôt de garantie : 784 €
","2 Terrasses ; Orientation Est, Ouest, Sud ; Surface de 81,51 m² ; Année de construction 2019 ; Bâtiment de 2 étages ; Au 2ème étage ; Adapté Pmr ; 4 Pièces ; 3 Chambres ; 1 Salle de bain ; 1 Salle d'eau ; 1 Toilette ; Rangements ; Chauffage individuel gaz radiateur ; Cuisine séparée équipée ; 2 Parkings ; Interphone ; Calme",59.0,13.0,"Toulouse -Lardenne / St-Martin du Touch proche rocade et Airbus, beau T4 neuf traversant belles prestations, au 2ème étage/1, coup de coeur, à côté école primaire, au calme, grande pièce à vivre, cuisine équipée avec l'électroménager dont le four donnant sur terrasse, 3 chambres avec placards dont 2 donnant sur terrasse et une chambre avec sa salle d'eau, salle de bain avec sèche serviette et machine à laver, WC séparé, libre, DPE: B/C, loyer: 871EUR (eau comprise), H.AG: 903,17EUR. STL IMMO."
